sub_id,ses_id
sub-A00008326,ses-BAS1
sub-A00008326,ses-BAS2
sub-A00008326,ses-FLU1
sub-A00008399,ses-BAS1
sub-A00013809,ses-BAS1
sub-A00018030,ses-BAS1
sub-A00018030,ses-FLU1
sub-A00018030,ses-TRT
sub-A00019903,ses-BAS1
sub-A00021039,ses-BAS1
sub-A00023510,ses-BAS1
sub-A00025566,ses-BAS1
sub-A00027159,ses-BAS1
sub-A00027159,ses-FLU1
sub-A00027159,ses-TRT
sub-A00027167,ses-BAS1
sub-A00027167,ses-FLU1
sub-A00027167,ses-TRT
sub-A00027439,ses-FLU1
sub-A00027439,ses-TRT
sub-A00027443,ses-BAS1
sub-A00027544,ses-BAS1
sub-A00027651,ses-BAS1
sub-A00028150,ses-BAS1
sub-A00028152,ses-BAS1
sub-A00028177,ses-BAS1
sub-A00028184,ses-BAS1
sub-A00028185,ses-BAS1
sub-A00028185,ses-BAS2
sub-A00028192,ses-BAS1
sub-A00028207,ses-BAS1
sub-A00028246,ses-BAS1
sub-A00028266,ses-BAS1
sub-A00028287,ses-BAS1
sub-A00028339,ses-BAS1
sub-A00028339,ses-BAS2
sub-A00028339,ses-FLU1
sub-A00028352,ses-BAS1
sub-A00028352,ses-BAS2
sub-A00028380,ses-BAS1
sub-A00028389,ses-BAS1
sub-A00028399,ses-BAS1
sub-A00028400,ses-BAS1
sub-A00028429,ses-BAS1
sub-A00028430,ses-BAS1
sub-A00028468,ses-BAS1
sub-A00028522,ses-BAS1
sub-A00028552,ses-BAS1
sub-A00028605,ses-BAS1
sub-A00028606,ses-BAS1
sub-A00028613,ses-BAS1
sub-A00028625,ses-BAS1
sub-A00028656,ses-BAS1
sub-A00028678,ses-BAS1
sub-A00028691,ses-BAS1
sub-A00028694,ses-BAS1
sub-A00028753,ses-BAS1
sub-A00028753,ses-BAS2
sub-A00028754,ses-BAS1
sub-A00028754,ses-BAS2
sub-A00028766,ses-BAS1
sub-A00028784,ses-BAS1
sub-A00028822,ses-BAS1
sub-A00028842,ses-BAS1
sub-A00028844,ses-BAS1
sub-A00028845,ses-BAS1
sub-A00028858,ses-BAS1
sub-A00028912,ses-BAS1
sub-A00028929,ses-BAS1
sub-A00028994,ses-BAS1
sub-A00028995,ses-BAS1
sub-A00029075,ses-BAS1
sub-A00029076,ses-BAS1
sub-A00029092,ses-BAS1
sub-A00029104,ses-BAS1
sub-A00029126,ses-BAS1
sub-A00029127,ses-BAS1
sub-A00029215,ses-BAS1
sub-A00029219,ses-BAS1
sub-A00029230,ses-BAS1
sub-A00029231,ses-BAS1
sub-A00029303,ses-BAS1
sub-A00029304,ses-BAS1
sub-A00029979,ses-BAS1
sub-A00030912,ses-BAS1
sub-A00030913,ses-BAS1
sub-A00030947,ses-BAS1
sub-A00030947,ses-BAS2
sub-A00030980,ses-BAS1
sub-A00030981,ses-BAS1
sub-A00030989,ses-BAS1
sub-A00030989,ses-BAS2
sub-A00030990,ses-BAS1
sub-A00031145,ses-BAS1
sub-A00031166,ses-BAS1
sub-A00031167,ses-BAS1
sub-A00031216,ses-BAS1
sub-A00031217,ses-BAS1
sub-A00031219,ses-BAS1
sub-A00031219,ses-BAS2
sub-A00031272,ses-BAS1
sub-A00031410,ses-BAS1
sub-A00031411,ses-BAS1
sub-A00031452,ses-BAS1
sub-A00031452,ses-BAS2
sub-A00031452,ses-FLU1
sub-A00031459,ses-BAS1
sub-A00031549,ses-BAS1
sub-A00031578,ses-BAS1
sub-A00031604,ses-BAS1
sub-A00031605,ses-BAS1
sub-A00031625,ses-BAS1
sub-A00031683,ses-BAS1
sub-A00031794,ses-BAS1
sub-A00031794,ses-BAS2
sub-A00031794,ses-FLU1
sub-A00031871,ses-BAS1
sub-A00031872,ses-BAS1
sub-A00031881,ses-BAS1
sub-A00031881,ses-FLU1
sub-A00031881,ses-FLU2
sub-A00031881,ses-TRT
sub-A00031893,ses-BAS1
sub-A00031894,ses-BAS1
sub-A00032007,ses-BAS1
sub-A00032008,ses-BAS1
sub-A00032010,ses-BAS1
sub-A00032817,ses-BAS1
sub-A00032862,ses-BAS1
sub-A00032875,ses-BAS1
sub-A00032875,ses-BAS2
sub-A00032875,ses-BAS3
sub-A00032875,ses-FLU1
sub-A00032876,ses-BAS1
sub-A00033011,ses-BAS1
sub-A00033021,ses-BAS1
sub-A00033180,ses-BAS1
sub-A00033231,ses-BAS1
sub-A00033232,ses-BAS1
sub-A00033247,ses-BAS1
sub-A00033248,ses-BAS1
sub-A00033589,ses-BAS1
sub-A00033609,ses-BAS1
sub-A00033640,ses-BAS1
sub-A00033643,ses-BAS1
sub-A00033647,ses-BAS1
sub-A00033673,ses-BAS1
sub-A00033673,ses-BAS2
sub-A00033673,ses-FLU1
sub-A00033714,ses-BAS1
sub-A00033714,ses-FLU1
sub-A00033714,ses-FLU2
sub-A00033714,ses-TRT
sub-A00033734,ses-BAS1
sub-A00033735,ses-BAS1
sub-A00033747,ses-BAS1
sub-A00033747,ses-BAS2
sub-A00033748,ses-BAS1
sub-A00033752,ses-BAS1
sub-A00033764,ses-BAS1
sub-A00033832,ses-BAS1
sub-A00033834,ses-BAS1
sub-A00033849,ses-BAS1
sub-A00033903,ses-BAS1
sub-A00033963,ses-BAS1
sub-A00033998,ses-BAS1
sub-A00034073,ses-BAS1
sub-A00034074,ses-BAS1
sub-A00034093,ses-BAS1
sub-A00034193,ses-BAS1
sub-A00034193,ses-BAS2
sub-A00034350,ses-BAS1
sub-A00034350,ses-FLU1
sub-A00034350,ses-TRT
sub-A00034385,ses-BAS1
sub-A00034400,ses-BAS1
sub-A00034827,ses-BAS1
sub-A00034854,ses-BAS1
sub-A00034854,ses-BAS2
sub-A00034987,ses-BAS1
sub-A00035036,ses-BAS1
sub-A00035054,ses-BAS1
sub-A00035072,ses-BAS1
sub-A00035072,ses-BAS2
sub-A00035291,ses-BAS1
sub-A00035291,ses-FLU1
sub-A00035292,ses-BAS1
sub-A00035292,ses-FLU1
sub-A00035292,ses-FLU2
sub-A00035292,ses-TRT
sub-A00035337,ses-BAS1
sub-A00035363,ses-BAS1
sub-A00035364,ses-BAS1
sub-A00035364,ses-FLU1
sub-A00035377,ses-BAS1
sub-A00035377,ses-FLU1
